70 unique phonemes
70 unique phonemes
70 unique phonemes
70 unique phonemes
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
{'loss': 3.9069, 'grad_norm': 6.796883583068848, 'learning_rate': 2.0018198362147407e-05, 'epoch': 0.6}
{'loss': 3.8681, 'grad_norm': 5.842580795288086, 'learning_rate': 2.0169851380042464e-05, 'epoch': 0.61}
{'loss': 3.806, 'grad_norm': 3.781006336212158, 'learning_rate': 2.0321504397937518e-05, 'epoch': 0.61}
{'loss': 3.7781, 'grad_norm': 4.306188106536865, 'learning_rate': 2.0473157415832575e-05, 'epoch': 0.61}
{'loss': 3.7264, 'grad_norm': 4.906397819519043, 'learning_rate': 2.0624810433727632e-05, 'epoch': 0.62}
{'loss': 3.7171, 'grad_norm': 4.589152812957764, 'learning_rate': 2.077646345162269e-05, 'epoch': 0.62}
{'loss': 3.6574, 'grad_norm': 4.28676700592041, 'learning_rate': 2.0928116469517743e-05, 'epoch': 0.63}
{'loss': 3.6197, 'grad_norm': 3.530791997909546, 'learning_rate': 2.10797694874128e-05, 'epoch': 0.63}
{'loss': 3.5653, 'grad_norm': 6.142312526702881, 'learning_rate': 2.1231422505307857e-05, 'epoch': 0.64}
{'loss': 3.5346, 'grad_norm': 40.20183563232422, 'learning_rate': 2.1383075523202914e-05, 'epoch': 0.64}
{'loss': 3.5075, 'grad_norm': 3.341818332672119, 'learning_rate': 2.1534728541097968e-05, 'epoch': 0.65}
{'loss': 3.4618, 'grad_norm': 3.9364051818847656, 'learning_rate': 2.1686381558993025e-05, 'epoch': 0.65}
{'loss': 3.4282, 'grad_norm': 4.629109859466553, 'learning_rate': 2.1838034576888082e-05, 'epoch': 0.66}
{'loss': 3.4036, 'grad_norm': 5.028326511383057, 'learning_rate': 2.1989687594783136e-05, 'epoch': 0.66}
{'loss': 3.3653, 'grad_norm': 21.099489212036133, 'learning_rate': 2.2141340612678193e-05, 'epoch': 0.66}
{'loss': 3.3465, 'grad_norm': 4.080637454986572, 'learning_rate': 2.229299363057325e-05, 'epoch': 0.67}
{'loss': 3.2899, 'grad_norm': 4.514604568481445, 'learning_rate': 2.2444646648468307e-05, 'epoch': 0.67}
{'loss': 3.2997, 'grad_norm': 6.813199520111084, 'learning_rate': 2.2596299666363364e-05, 'epoch': 0.68}
{'loss': 3.2796, 'grad_norm': 20.024869918823242, 'learning_rate': 2.2747952684258417e-05, 'epoch': 0.68}
{'loss': 3.2649, 'grad_norm': 6.249314308166504, 'learning_rate': 2.2899605702153475e-05, 'epoch': 0.69}
{'loss': 3.2208, 'grad_norm': 6.016060829162598, 'learning_rate': 2.3051258720048528e-05, 'epoch': 0.69}
{'loss': 3.2018, 'grad_norm': 5.314901828765869, 'learning_rate': 2.3202911737943585e-05, 'epoch': 0.7}
{'loss': 3.2007, 'grad_norm': 5.86168909072876, 'learning_rate': 2.3354564755838642e-05, 'epoch': 0.7}
{'loss': 3.1834, 'grad_norm': 3.496201992034912, 'learning_rate': 2.35062177737337e-05, 'epoch': 0.71}
{'loss': 3.1613, 'grad_norm': 2.7307260036468506, 'learning_rate': 2.3657870791628757e-05, 'epoch': 0.71}
{'loss': 3.1608, 'grad_norm': 3.9789934158325195, 'learning_rate': 2.380952380952381e-05, 'epoch': 0.71}
{'loss': 3.1513, 'grad_norm': 3.4677793979644775, 'learning_rate': 2.3961176827418867e-05, 'epoch': 0.72}
